2012,NISSAN NISSAN LEAF UPR,99.999,107,2,3750,7.94,111.1,33.78,0.0618,0.02282,132.0,154.0
2013,Azure Dynamics Transit Connect Electric,0.001,70,2,4250,8.28,999.9,33.83,0.1242,0.03132,88.6,88.4
2012,BYD e6,99.999,100,2,5500,1.09,6.4,59.33,0.654,0.02366,98.0,88.0
2013,CODA CODA,0.001,134,2,4000,6.54,93.4,39.18,0.2549,0.0199,97.0,110.3
2016,Ford FOCUS,0.001,144,2,3875,7.82,10.5,23.050,0.36470,0.018970,141.4,157.2
2016,MITSUBISHI i-MiEV,0.001,66,2,2875,7.07,106.2,19.484,0.43515,0.016133,141.0,180.5
2016,Tesla Model S S3,0.001,362,2,4500,9.73,9.7,43.620,0.19840,0.016085,124.16107382550335,121.31147540983606
2014,Toyota RAV4 EV,0.001,1,2,4250,9.73,0,32.246,0.27335,0.022058,114.90683229813664,118.21086261980831
2015,BYD e6,99.999,100,2,5500,1.09,6.4,60.763,0.662,0.01996,92.9,90.2
2015,Fiat 500e,0.01,110,2,3250,9.59,145,22.77,0.295,0.01519,154.5,174.9
2014,HONDA FIT EV,0.001,123,2,3625,3.69,114.4,19.06,0.407,0.01499,154.1,188.5
2016,NISSAN NISSAN LEAF S,99.999,107,2,3625,8.19,114.7,29.970,0.07130,0.022060,144.2,180.4
2016,NISSAN NISSAN LEAF SL,99.999,107,2,3625,8.19,112.5,29.610,0.07380,0.021950,146.4,183.9
2013,Model S S1,0.1,301,2,4750,9.73,9.7,39.846,0.14526,0.015889,132.14285714285714,128.9198606271777
2016,Model S S2,0.100,362,2,4750,9.73,9.7,39.846,0.14526,0.015889,133.5740072202166,130.2816901408451
2013,SCION iQ EV,0.001,1,2,2750,9.45,0,15.993,0.56499,0.013095,164.44444444444446,216.37426900584794
2016,BMW I3 BEV,0.010,168,2,3125,9.70,121.6,22.900,0.34600,0.016260,159.1,196.4
2016,CHEVROLET SPARK EV,0.001,139,2,3125,3.87,58.2,21.960,0.16880,0.018060,156.3,183.5
2016,Mercedes-Benz B-class electric drive,0.001,177,2,4250,1.00,999.0,31.700,0.17700,0.019000,117.0,121.9
2016,Mercedes-Benz smart fortwo electric drive (convertible),0.001,74,2,2375,1.00,151.8,32.869,-0.16390,0.028583,133.2,173.8
2014,Tesla Model S P85D,0.001,449,4,5250,9.34,9.7,41.91,0.1389,0.0185,129.37062937062936,129.37062937062936
2016,Kia Soul electric,0.001,109,2,3625,3.58,114.1,22.800,0.32810,0.021832,144.53125,188.77551020408163
2016,Tesla Model S 70D,0.001,376,4,5000,9.34,9.7,36.230,0.19060,0.017460,149.79757085020245,146.82539682539684
2016,Tesla Model S 85D,0.001,376,4,5000,9.34,9.7,36.230,0.19060,0.017460,154.16666666666666,139.09774436090225
2016,Tesla Model S P85D,0.001,449,4,5250,9.34,9.7,41.910,0.02570,0.019610,145.09803921568627,133.0935251798561
2016,VOLKSWAGEN e-Golf,0.100,115,4,3625,3.61,135.2,39.360,0.50830,0.012500,149.7,179.2
2016,Bluecar Bluecar,0.001,67,2,3375,9.99,140.0,25.230,0.43462,0.021540,96.3,120.4
2016,BYD e6,99.999,100,2,5500,1.07,6.4,69.473,0.06970,0.028140,104.0,111.0
2016,Fiat 500e,0.010,110,2,3250,9.59,145.0,24.910,0.23650,0.018160,147.8,172.9
2016,NISSAN NISSAN LEAF SV,99.999,107,2,3750,8.19,112.5,29.920,0.07600,0.021950,144.6,175.4
2016,Tesla Model S 60D,0.001,376,4,5000,9.34,9.7,37.370,0.18420,0.015080,183.16831683168317,175.35545023696682
2016,Tesla Model S 60R,0.001,376,2,5000,9.34,9.7,40.350,0.13240,0.015570,150.40650406504065,163.71681415929203
2016,Tesla Model S 75D,0.001,376,4,5000,9.34,9.7,37.370,0.18420,0.015080,180.4878048780488,176.1904761904762
2016,Tesla Model S 75R,0.001,376,2,5000,9.34,9.7,40.350,0.13240,0.015570,172.09302325581396,167.420814479638
2016,Tesla Model S 90D,0.001,376,4,5000,9.34,9.7,39.240,0.14930,0.015140,177.8846153846154,169.72477064220183
2016,Tesla Model S P100D,0.001,376,4,5250,9.34,9.7,41.350,0.26700,0.013700,176.1904761904762,156.11814345991561
2016,Tesla Model S P90D,0.001,376,4,5250,9.34,9.7,41.510,0.22260,0.014030,170.50691244239633,157.4468085106383
2016,Tesla Model X 60D,0.001,417,4,5500,9.34,9.7,37.680,0.04860,0.021400,163.71681415929203,159.48275862068965
2016,Tesla Model X 75D,0.001,417,4,5500,9.34,9.7,37.680,0.04860,0.021400,165.91928251121075,158.79828326180257
2016,Tesla Model X 90D,0.001,417,4,5500,9.34,9.7,37.680,0.04860,0.021400,158.79828326180257,153.52697095435684
2016,Tesla Model X P100D,0.001,713,4,6000,9.34,9.7,45.710,-0.05550,0.021600,156.11814345991561,139.09774436090225
2018,Ford FOCUS,0.001,143,2,4000,7.82,10.5,28.870,0.19060,0.019930,136.8,169.2
2018,HYUNDAI IONIQ,0.001,117,2,3500,3.43,103.1,21.170,0.19016,0.015762,201.08695652173915,246.66666666666666
2018,KIA Soul Electric,0.001,35,2,3625,3.26,127.0,22.058,0.25763,0.022168,146.82539682539684,193.71727748691097
